801,490,751
802,505,752
803,489,753
804,480,754
805,508,755
806,498,756
807,507,757
808,502,758
809,473,759
810,504,760
811,487,761
812,504,762
813,486,763
814,488,764
815,493,765
816,491,766
817,489,767
818,479,768
819,489,769
820,494,770
821,504,771
822,510,772
823,471,773
824,486,774
825,485,775
826,501,776
827,478,777
828,510,778
829,507,779
830,485,780
831,501,781
832,475,782
833,473,783
834,494,784
835,493,785
836,472,786
837,500,787
838,481,788
839,471,789
840,490,790
841,494,791
842,510,792
843,492,793
844,497,794
845,510,795
846,478,796
847,487,797
848,487,798
849,501,799
850,500,800
